Customer_Tenure,Monthly_Spend,Num_Products,Has_Contract,Used_Support,Region_North,Region_South,Churn
7,20.83,2,0,0,0,1,1
50,128.61,4,0,0,0,1,0
30,123.38,4,1,0,1,0,0
19,53.46,3,1,0,0,0,0
12,58.99,1,0,1,1,0,1
6,51.61,1,0,0,1,0,1
16,33.74,2,1,0,0,0,0
13,51.63,2,1,0,1,0,0
3,46.8,2,0,0,1,0,1
35,138.7,4,0,0,0,1,1
16,26.65,1,0,1,0,1,1
38,142.96,4,1,1,0,0,0
1,43.86,1,0,0,0,0,1
28,55.54,3,0,1,1,0,0
32,126.68,4,1,0,1,0,1
30,68.67,3,0,0,0,1,0
41,84.53,3,1,0,1,0,0
7,41.41,1,0,0,0,1,1
30,98.37,2,1,1,1,0,1
52,112.69,3,1,0,0,1,0
40,149.98,3,1,0,0,1,0
22,63.17,3,1,1,0,1,0
60,127.29,4,1,0,0,1,0
12,63.97,2,0,1,0,1,1
41,137.63,4,1,0,1,0,0
56,90.29,4,1,1,1,0,0
4,32.93,1,0,0,1,0,1
11,43.71,1,0,1,0,1,1
2,21.65,1,1,1,0,1,1
12,41.59,2,0,1,0,1,1
2,50.9,1,0,0,1,0,1
36,108.49,4,1,0,0,1,0
30,140.13,4,1,1,0,0,0
7,35.82,2,1,1,1,0,0
7,31.35,1,1,0,1,0,1
50,130.79,4,0,0,1,0,0
57,99.45,3,1,0,0,1,0
33,76.63,2,0,1,0,1,0
13,59.25,1,0,0,1,0,0
17,50.37,1,0,1,0,1,1
25,88.1,4,1,0,1,0,0
20,91.72,3,1,0,0,1,0
22,90.07,3,0,0,0,1,0
13,46.08,1,0,0,0,0,1
1,37.78,2,0,1,1,0,1
53,136.56,4,0,0,0,0,0
26,79.97,2,0,0,0,0,0
9,51.68,1,0,1,1,0,1
57,127.72,4,1,0,1,0,0
13,57.18,2,0,0,0,1,1
33,80.82,2,0,0,0,0,0
1,51.82,1,1,1,0,0,1
15,22.9,1,0,1,0,1,1
26,81.54,4,0,0,0,0,0
23,74.86,2,1,1,1,0,0
22,86.88,2,0,1,1,0,1
11,39.0,2,0,0,0,0,0
47,146.78,4,1,0,0,0,0
49,130.52,4,0,0,0,1,0
14,55.7,3,1,1,0,0,0
18,64.82,3,1,0,0,0,0
27,95.02,3,1,1,0,0,0
37,109.13,3,1,0,0,0,0
26,58.45,3,1,0,0,0,0
6,22.07,1,0,0,1,0,0
12,78.86,2,1,1,0,0,0
12,24.49,1,0,0,1,0,1
22,63.41,3,1,0,0,0,0
4,53.01,1,0,1,0,1,1
20,56.01,3,0,1,0,1,1
13,98.92,3,1,1,0,1,1
13,48.86,1,0,0,1,0,0
7,44.78,2,0,1,1,0,1
26,113.45,4,1,0,0,0,0
19,93.71,2,1,0,0,0,0
1,58.53,1,0,1,1,0,1
27,93.71,3,0,0,0,0,0
16,44.69,2,0,0,0,0,1
24,79.91,2,1,0,0,1,0
13,21.63,2,0,1,1,0,1
42,138.48,4,1,0,0,0,0
35,61.84,3,1,0,0,1,0
46,130.74,4,1,0,0,0,0
14,52.9,1,0,0,0,0,1
5,33.49,2,0,1,0,0,1
40,121.94,4,1,0,0,1,0
6,27.11,1,1,0,1,0,1
26,124.6,3,1,0,1,0,0
9,29.77,1,0,1,1,0,1
46,146.44,3,1,0,1,0,0
31,65.75,2,1,0,0,1,0
24,73.6,3,0,1,0,1,0
28,63.04,3,1,0,0,0,0
4,31.55,1,0,0,1,0,1
4,54.06,1,0,1,0,1,1
9,51.03,2,0,0,1,0,1
8,44.49,2,0,1,1,0,1
41,102.81,4,1,1,1,0,0
37,89.07,4,0,1,0,0,1
60,107.29,4,1,1,1,0,0
9,57.31,2,1,0,0,0,1
29,92.64,3,1,0,1,0,0
50,103.78,4,0,0,0,0,0
40,85.75,4,0,1,0,0,1
33,107.78,4,1,0,0,0,0
38,91.1,4,1,0,0,0,0
58,101.17,4,1,0,0,0,0
53,114.44,3,1,1,0,0,0
36,89.21,3,1,0,0,1,0
21,57.53,2,1,0,1,0,0
56,141.76,4,1,1,1,0,0
20,72.05,3,0,0,1,0,0
5,43.52,2,0,0,0,1,0
22,69.32,2,0,0,0,1,0
12,62.65,3,0,1,0,0,0
31,141.74,4,1,0,0,0,0
43,89.1,4,1,0,0,1,0
49,149.64,3,1,0,0,1,0
24,78.86,2,0,0,0,0,0
53,142.4,4,0,0,1,0,0
11,27.78,1,0,1,0,0,1
28,88.4,4,1,0,1,0,0
17,55.3,3,1,0,0,1,0
53,139.79,4,0,0,1,0,0
25,61.32,3,0,1,0,0,0
2,58.47,1,0,1,0,1,1
34,68.8,3,0,0,1,0,0
19,60.92,2,0,0,1,0,0
58,94.62,4,0,0,0,1,0
29,106.52,4,1,0,0,0,0
2,41.94,1,0,1,0,0,1
18,50.64,2,1,0,0,1,0
28,77.96,3,0,0,1,0,0
27,111.84,4,0,0,0,1,0
34,89.51,3,0,0,0,0,0
16,69.43,3,1,0,0,0,0
6,46.68,1,0,1,1,0,1
37,130.5,4,1,0,0,0,0
12,62.22,3,0,0,0,1,0
17,53.27,1,0,1,0,0,1
13,46.43,1,0,1,0,0,1
15,45.86,1,1,0,0,0,1
58,95.39,4,1,0,0,0,0
12,87.87,3,1,1,1,0,1
36,148.01,3,1,0,0,0,0
58,96.93,4,1,0,0,1,0
48,101.03,4,1,1,1,0,0
12,37.85,1,1,1,0,1,1
55,120.83,3,1,0,0,0,0
39,127.42,3,0,0,1,0,0
33,140.83,3,1,0,0,1,0
52,115.9,3,1,0,0,1,0
17,58.67,2,1,1,1,0,1
6,44.39,1,1,1,1,0,1
35,98.26,3,0,0,0,0,0
5,34.97,2,1,1,0,0,1
57,97.92,4,1,0,1,0,1
9,41.7,1,0,0,0,0,1
57,109.11,4,1,0,0,0,0
17,99.62,3,1,1,0,1,0
25,119.18,3,0,0,0,0,0
7,53.44,2,1,1,0,0,1
53,149.34,4,1,0,0,1,0
22,65.43,3,0,0,1,0,0
30,67.02,2,1,1,0,0,0
16,71.43,3,0,0,0,1,1
55,145.05,4,1,0,1,0,0
30,121.72,4,1,0,0,1,0
22,97.33,3,0,0,0,1,0
4,35.3,1,0,1,0,0,1
13,55.28,2,1,1,0,1,0
47,102.06,4,0,0,1,0,0
40,107.96,4,0,0,0,1,0
3,32.49,1,1,1,0,1,0
3,38.27,1,1,0,1,0,0
31,134.38,4,1,1,0,1,0
42,82.78,4,1,0,0,0,0
26,58.91,2,0,1,1,0,0
14,30.98,1,0,0,0,1,0
12,42.92,1,0,0,1,0,1
58,144.31,4,1,1,1,0,0
3,20.92,2,0,1,0,1,1
13,54.69,2,0,0,1,0,0
47,85.91,4,1,0,0,0,0
12,55.21,2,0,0,1,0,0
35,76.01,3,1,1,0,0,0
34,92.65,2,1,1,1,0,0
3,29.84,1,0,1,0,0,1
25,125.25,4,0,0,0,1,0
35,55.32,3,0,1,0,0,0
48,134.15,3,1,0,1,0,0
20,58.92,3,1,1,0,1,1
14,54.7,3,1,0,1,0,0
17,87.46,3,0,0,0,0,0
43,103.25,4,1,0,0,1,0
16,36.74,1,0,0,0,1,0
33,120.54,3,1,0,0,0,0
2,58.19,1,0,1,0,1,1
2,27.38,2,0,0,0,0,0
31,117.15,4,0,0,0,1,0
26,95.06,3,0,0,0,0,0
43,148.72,4,1,0,0,1,0
33,79.94,2,1,0,0,1,0
33,61.35,3,1,0,1,0,0
30,140.8,3,1,0,0,0,0
1,50.61,2,0,0,0,1,1
15,51.04,1,0,1,0,1,1
35,69.38,3,0,0,0,0,0
23,57.83,2,1,0,1,0,0
3,20.7,1,0,1,0,0,1
28,94.47,2,1,0,0,0,1
60,138.07,3,0,1,0,0,0
57,113.18,4,0,0,0,0,0
53,149.39,4,0,0,0,1,1
34,66.52,2,0,0,1,0,0
15,54.38,1,1,1,0,0,1
17,55.88,3,0,0,1,0,1
8,26.82,1,0,1,1,0,1
35,115.52,3,1,1,0,0,0
2,57.65,1,0,0,1,0,1
32,99.58,3,0,0,0,0,0
3,33.94,1,0,1,0,0,1
52,99.94,4,1,0,0,0,0
15,53.63,3,0,0,0,0,1
21,55.6,3,0,0,0,0,0
21,54.59,2,1,1,0,0,1
16,87.96,3,0,0,0,1,0
28,74.42,3,0,0,1,0,0
16,27.53,1,1,0,0,0,1
21,87.36,3,0,1,0,0,0
19,52.95,2,0,0,0,1,1
45,107.68,3,0,1,1,0,0
30,121.51,3,1,0,0,1,0
43,115.15,3,1,1,1,0,0
34,54.36,3,0,0,0,0,0
12,23.26,2,0,1,0,0,1
26,88.33,2,0,0,1,0,1
2,43.79,2,0,1,0,1,1
48,124.3,3,1,1,1,0,0
1,37.85,1,1,0,0,0,0
33,87.09,4,1,0,1,0,0
46,83.13,4,1,0,0,1,0
16,91.23,2,1,0,0,1,1
30,141.59,3,1,0,1,0,0
29,64.53,3,0,1,0,1,1
32,82.41,3,1,0,1,0,0
38,120.75,4,1,0,0,1,0
29,131.53,4,1,0,1,0,0
1,40.87,1,0,0,0,1,1
36,121.54,4,1,0,0,0,0
49,111.92,4,1,1,0,0,0
25,121.36,4,0,0,0,0,0
26,73.95,2,1,0,0,0,0
19,77.24,3,0,0,1,0,0
1,22.09,1,0,0,1,0,1
32,111.09,4,1,1,0,1,0
47,96.45,4,1,0,0,0,0
1,45.81,2,0,1,0,0,1
47,91.54,3,0,0,1,0,0
28,86.4,3,1,0,0,1,0
30,81.75,2,0,0,1,0,1
43,131.31,3,1,0,0,0,0
26,77.5,3,1,0,0,1,0
47,136.64,4,1,0,1,0,0
22,71.69,2,0,1,0,1,1
3,45.7,2,0,0,0,1,0
30,88.12,4,1,0,0,0,0
52,85.35,4,1,1,1,0,0
15,54.32,3,1,1,0,0,0
26,91.91,2,1,0,0,1,1
14,42.98,1,1,1,0,0,1
40,112.77,4,0,1,0,0,0
30,118.45,3,1,0,1,0,0
10,42.27,1,0,1,1,0,1
30,51.47,2,1,1,0,0,0
3,24.71,2,1,1,1,0,1
14,23.55,1,1,0,0,0,0
8,45.01,1,0,0,0,0,1
32,101.22,4,1,0,0,0,0
40,90.61,4,1,0,1,0,0
12,54.05,1,0,1,1,0,1
16,82.76,3,0,1,0,1,0
4,35.35,1,0,0,1,0,1
31,79.29,3,0,0,0,0,0
24,60.49,3,1,0,0,0,0
14,21.18,2,0,1,0,1,1
27,121.32,4,1,0,0,0,0
26,51.45,3,1,0,1,0,0
28,82.96,4,1,0,1,0,0
17,46.19,1,0,1,0,0,1
19,61.27,2,1,1,0,0,0
12,41.06,1,0,0,0,1,1
29,89.06,3,0,0,0,0,0
23,61.34,2,0,0,0,1,1
45,111.17,3,1,0,1,0,0
19,50.9,2,0,0,1,0,1
9,52.87,2,0,1,0,0,1
2,51.99,1,0,0,1,0,1
55,143.42,4,1,0,0,1,0
26,96.87,3,0,0,0,1,0
1,46.5,1,0,0,0,0,1
5,45.52,1,0,0,0,1,1
11,36.98,1,0,0,1,0,0
16,75.43,2,0,1,1,0,1
26,73.09,3,0,1,0,1,0
21,71.78,3,1,0,0,0,1
3,22.8,2,0,0,0,1,0
1,47.53,1,0,1,0,0,1
25,72.49,3,1,0,1,0,0
41,80.86,4,1,1,0,0,0
30,91.63,3,0,1,0,1,0
8,43.09,1,0,0,1,0,1
58,87.77,3,1,0,0,1,0
9,33.24,1,0,1,0,0,1
30,136.02,3,1,0,0,0,0
20,63.39,3,1,0,1,0,0
30,92.0,3,1,0,0,0,0
60,117.26,4,1,0,1,0,0
53,91.47,4,1,0,1,0,0
15,34.17,1,0,0,0,1,0
33,96.52,3,1,0,0,1,0
3,53.24,1,0,1,0,0,1
19,55.54,3,0,0,1,0,0
19,63.82,3,0,0,1,0,1
51,126.97,4,1,1,0,1,0
60,137.17,4,1,0,1,0,0
46,99.92,3,1,1,1,0,0
2,59.37,1,0,1,1,0,1
17,30.1,1,0,1,0,1,1
14,96.48,3,1,0,1,0,0
16,52.93,1,0,0,0,1,1
5,20.1,1,0,0,1,0,1
30,76.98,2,1,1,1,0,0
15,56.71,1,0,0,0,1,1
29,92.4,3,0,1,1,0,1
13,83.57,3,1,0,0,1,0
27,83.46,4,0,0,1,0,0
34,98.54,2,1,0,0,1,0
48,118.44,4,0,1,1,0,1
9,32.49,1,0,1,1,0,1
26,83.14,4,1,1,0,1,0
17,25.67,1,0,0,0,0,1
5,27.14,1,0,1,1,0,1
14,52.64,3,1,0,0,1,0
5,26.95,1,0,0,0,0,1
25,54.13,2,0,0,0,1,0
5,35.87,1,1,1,0,0,1
32,63.29,3,0,1,1,0,0
17,62.17,3,0,0,0,0,1
48,106.41,4,1,0,0,1,0
7,25.57,1,1,0,1,0,1
12,86.26,3,0,0,0,0,1
51,119.77,3,1,0,0,1,0
34,68.56,3,1,0,0,1,0
28,56.89,2,1,1,0,0,0
12,41.6,2,0,1,0,1,1
36,84.16,4,0,0,1,0,0
60,107.94,4,1,0,0,1,0
13,66.11,3,0,0,1,0,1
2,37.7,2,0,0,0,0,1
17,94.94,3,1,1,0,0,0
34,128.12,4,1,0,0,1,0
50,87.34,4,1,0,0,1,0
27,120.39,3,1,0,1,0,0
32,58.18,2,1,1,1,0,0
13,60.86,2,0,1,0,0,1
5,59.15,1,0,1,1,0,1
54,110.89,4,1,0,0,1,0
55,110.7,4,1,0,0,0,0
8,32.7,1,0,0,0,0,0
56,82.2,3,1,0,0,1,0
15,90.76,3,1,0,0,1,0
14,40.19,1,1,1,0,1,0
16,52.19,2,0,0,0,0,1
49,90.36,3,0,1,0,1,1
1,54.57,1,0,0,0,1,1
7,41.3,2,0,0,1,0,1
7,51.45,1,0,1,1,0,1
49,112.09,4,1,0,0,1,0
11,28.83,1,0,1,0,0,1
29,82.59,3,1,1,0,0,0
38,80.4,4,1,0,0,0,0
55,105.74,3,1,0,0,1,0
40,84.72,3,1,0,0,0,0
13,51.07,1,0,1,0,0,1
9,30.17,1,0,1,0,1,1
16,23.72,2,1,1,1,0,1
27,141.91,4,1,0,0,1,0
26,138.95,3,0,0,0,0,1
42,140.66,4,1,0,1,0,0
26,112.4,4,1,0,0,0,0
45,133.33,4,1,0,1,0,0
30,90.59,3,0,1,0,0,1
25,98.39,3,0,0,0,1,0
33,54.44,3,0,0,0,0,0
17,50.67,3,0,0,0,1,1
21,51.67,3,1,0,0,0,0
1,52.63,1,0,1,0,1,1
34,82.95,3,1,0,1,0,0
36,145.16,3,0,0,0,1,1
3,53.62,1,1,0,1,0,0
53,143.52,3,1,0,1,0,0
55,127.31,4,1,0,0,1,0
33,56.26,2,0,1,0,0,1
21,59.56,3,0,1,0,1,0
52,146.08,3,0,0,0,1,0
59,132.49,3,1,0,0,1,0
22,68.98,2,0,1,1,0,0
6,27.41,2,0,0,0,0,1
35,83.65,4,1,1,0,1,0
40,96.39,4,0,0,0,0,0
13,36.05,2,1,1,1,0,0
24,83.37,2,1,0,1,0,0
43,82.52,4,1,0,0,0,0
52,120.23,4,1,0,0,1,0
17,65.85,3,0,0,1,0,0
7,35.46,1,0,1,1,0,1
10,36.38,1,0,0,0,0,1
5,43.88,1,0,0,0,1,1
35,57.82,3,0,0,0,1,0
48,95.35,3,1,0,1,0,0
18,87.0,3,0,0,0,1,0
25,113.28,4,1,0,0,0,0
24,98.8,2,1,0,1,0,0
14,30.28,2,0,1,0,1,0
8,26.12,1,0,0,0,0,1
43,80.43,4,1,0,1,0,0
23,51.36,3,0,1,0,1,0
6,38.58,1,0,0,0,1,1
9,35.9,1,1,1,0,1,1
8,40.85,1,0,1,0,1,1
12,50.9,2,0,0,0,1,0
26,99.34,4,1,0,0,1,0
12,80.65,3,0,1,0,1,1
12,55.35,2,1,1,0,1,0
17,69.38,3,0,0,1,0,0
16,55.4,3,1,0,0,1,0
33,65.62,3,0,1,0,0,0
30,86.26,2,1,1,0,1,0
30,91.53,2,0,1,0,0,0
15,37.68,2,0,1,0,1,1
28,113.48,4,1,0,0,0,0
30,113.1,3,0,0,0,0,1
8,56.06,1,0,1,1,0,1
20,81.41,2,0,0,0,1,1
9,26.47,1,0,0,0,1,0
12,29.21,1,0,0,0,1,1
7,45.52,2,0,0,1,0,1
32,82.94,3,1,1,0,0,0
52,96.72,4,1,0,1,0,0
33,58.34,2,1,0,0,1,0
41,127.01,4,0,0,0,1,0
19,56.44,3,0,0,1,0,1
39,124.28,4,1,0,0,0,0
19,73.91,2,1,0,0,0,0
28,53.23,3,1,0,0,1,0
41,112.88,4,1,0,0,1,0
8,42.34,2,0,0,1,0,1
29,138.08,4,1,1,0,0,1
13,26.83,2,0,1,1,0,1
16,38.92,1,0,0,0,1,1
11,26.43,1,0,0,0,0,1
25,64.19,2,1,1,1,0,1
16,51.78,3,0,0,0,0,1
48,122.23,4,0,0,1,0,0
17,59.1,1,0,1,0,0,1
32,51.9,3,0,0,1,0,0
4,26.74,2,0,1,0,1,1
1,29.48,2,0,1,1,0,1
29,77.2,3,1,0,0,0,0
17,89.39,3,0,1,0,1,0
19,82.13,3,0,1,1,0,0
42,102.48,4,1,0,0,1,0
47,119.55,3,1,0,0,1,0
12,76.04,2,0,0,0,1,1
57,129.71,3,1,0,0,0,0
15,84.19,2,1,1,0,1,1
35,98.83,3,1,0,1,0,0
2,36.91,1,0,1,1,0,1
1,52.38,2,0,1,0,1,1
5,24.87,1,0,1,0,1,1
13,29.41,1,0,1,0,1,1
35,84.18,4,0,0,1,0,0
28,77.13,2,0,0,0,1,1
29,142.28,3,0,0,0,0,0
5,32.9,2,0,1,1,0,1
16,97.12,3,0,0,0,1,0
22,83.8,2,1,0,0,0,0
26,82.58,3,1,0,0,0,0
39,149.31,4,1,1,1,0,0
33,143.49,4,1,0,0,1,0
59,86.95,3,1,0,0,0,0
17,54.76,2,0,0,1,0,1
33,78.28,3,1,0,0,1,0
16,67.8,2,0,0,1,0,0
34,53.22,3,0,0,0,1,0
55,140.4,4,1,0,0,1,0
9,48.99,2,0,0,0,0,1
7,54.59,2,0,0,1,0,0
29,74.3,2,0,0,0,1,1
32,71.46,2,1,1,0,1,1
16,26.37,1,0,0,0,1,1
49,148.04,4,0,0,0,0,0
19,97.35,2,0,0,0,1,0
24,72.53,2,1,0,0,0,0
28,74.72,3,1,1,0,1,0
20,69.27,3,1,0,0,1,0
1,28.82,1,0,1,0,0,1
41,99.01,4,1,1,1,0,0
55,129.76,4,0,0,1,0,0
24,86.96,3,1,0,0,0,0
16,56.24,3,1,0,0,1,0
29,108.17,4,1,1,0,0,0
22,93.86,3,0,0,0,0,0
52,112.87,3,1,0,0,1,0
42,133.95,3,1,0,0,1,0
52,108.89,4,1,0,0,1,0
10,40.92,1,0,0,1,0,1
20,89.13,3,1,0,0,0,0
1,27.61,2,0,1,0,0,1
31,70.67,3,1,0,0,1,0
11,29.9,1,0,1,1,0,1
11,46.06,1,1,0,1,0,1
9,49.28,1,0,1,1,0,1
47,108.99,4,1,1,0,0,0
17,82.54,3,0,1,1,0,0
47,113.14,4,1,0,0,0,0
3,59.73,1,0,0,0,1,1
55,120.83,4,1,1,0,0,0
7,39.29,2,0,1,0,1,1
39,141.55,3,1,0,0,1,0
24,148.87,4,0,0,0,1,1
16,86.0,2,1,0,0,0,0
27,59.7,3,1,0,0,1,0
14,54.71,3,0,1,0,1,0
35,87.54,3,0,1,0,1,1
16,87.17,3,1,0,1,0,0
16,76.01,3,0,1,0,1,0
1,35.77,1,0,0,0,0,1
7,42.84,2,0,0,1,0,1
16,37.83,2,1,1,1,0,0
13,97.99,3,0,0,1,0,0
12,55.85,2,0,1,0,1,0
13,59.69,2,0,1,1,0,1
4,34.68,1,1,0,0,1,0
14,51.34,2,1,0,1,0,0
35,89.35,2,1,0,1,0,0
14,32.72,2,1,1,0,0,1
13,22.77,1,0,0,1,0,1
34,65.98,2,0,0,0,0,1
30,94.86,3,0,1,1,0,0
8,38.81,1,0,0,0,1,1
53,89.74,4,1,0,1,0,0
21,84.88,2,1,1,0,1,0
10,58.06,1,1,0,0,0,1
41,131.38,4,1,0,0,0,0
16,97.14,3,0,1,1,0,1
12,86.99,2,0,0,0,1,1
32,137.4,3,1,0,0,1,0
28,117.0,3,0,0,1,0,0
24,60.8,2,1,0,1,0,1
32,72.51,3,0,0,0,0,0
40,116.81,3,1,0,0,0,0
26,81.8,3,1,0,0,0,0
1,31.89,2,1,1,0,0,1
44,120.81,3,0,1,0,1,1
26,94.05,3,1,0,1,0,0
57,107.84,4,1,0,1,0,0
20,64.26,2,0,1,1,0,1
13,43.9,2,0,0,0,1,1
17,98.67,3,0,0,0,0,0
1,53.85,1,0,0,0,0,1
25,83.15,2,0,1,0,0,1
14,81.88,3,0,0,0,0,1
12,46.47,2,0,0,0,0,1
8,36.0,1,0,1,1,0,0
18,56.12,3,1,0,0,0,0
5,47.21,2,1,0,0,1,1
21,97.81,3,1,0,1,0,0
21,89.7,2,1,0,0,0,0
13,77.42,2,1,1,0,0,1
8,25.03,1,0,1,1,0,1
52,119.29,4,0,0,1,0,0
5,38.63,1,0,1,0,1,1
4,52.86,2,0,1,0,1,1
47,143.75,4,1,0,0,0,0
11,56.75,2,1,1,1,0,1
16,56.31,3,0,0,1,0,1
16,57.41,2,0,0,1,0,1
17,90.11,3,1,1,1,0,0
34,86.92,4,0,1,1,0,0
24,87.37,4,0,1,0,0,0
43,118.29,4,1,0,0,1,0
33,86.9,3,0,0,0,1,0
1,25.31,1,0,1,1,0,1
10,29.39,1,1,0,1,0,1
35,135.42,4,1,1,0,0,0
7,33.29,2,0,1,0,1,1
35,112.3,4,1,0,0,0,0
10,46.2,1,0,1,0,1,1
12,52.39,3,1,1,1,0,1
58,94.78,3,1,0,0,1,0
3,53.92,1,0,1,1,0,1
2,28.99,2,0,0,0,0,1
6,53.89,1,0,1,1,0,1
13,50.8,1,0,1,0,1,1
16,23.2,2,0,1,1,0,1
12,52.23,2,1,0,0,1,0
12,47.03,1,0,1,0,0,1
3,41.73,1,0,1,0,1,1
34,80.98,3,1,1,0,1,0
20,50.35,2,1,0,0,0,0
35,69.87,3,0,0,0,1,0
25,69.49,2,0,0,1,0,1
9,44.25,1,0,0,1,0,1
6,44.25,2,1,0,0,0,0
3,54.87,2,0,1,0,0,1
48,119.43,4,1,0,1,0,0
45,140.32,4,1,0,1,0,1
26,103.83,4,1,0,0,0,1
13,51.75,1,0,1,1,0,1
36,95.45,4,1,0,0,1,0
44,82.66,3,1,0,1,0,0
28,52.49,2,1,0,0,0,0
17,29.75,1,0,0,1,0,1
8,35.22,1,0,0,0,1,1
60,142.61,4,0,0,1,0,0
8,35.2,1,0,0,0,1,0
8,34.43,1,1,0,0,0,1
7,34.91,1,0,0,0,1,1
48,135.48,4,1,1,0,1,1
22,70.12,2,0,1,0,1,1
3,56.57,1,0,1,1,0,1
41,125.23,4,1,1,0,0,0
44,82.84,4,0,0,1,0,0
17,33.16,2,0,1,0,0,1
5,49.41,2,0,0,1,0,1
22,59.79,2,1,0,1,0,0
7,41.37,1,0,1,1,0,1
26,90.8,4,1,0,0,1,0
1,24.88,2,0,0,0,1,1
